iteration,path_name,Router,Cache occupy,CMBA,Latency(s),CHR,norm_CMBA,norm_CHR,norm_CacheOccupy,norm_Latency,avg_score
1,path_Router3_to_Router9,Router3,0.0,0.052,117.862,87.421,0.0,1.0,1.0,1.0,0.75
1,path_Router3_to_Router9,Router6,0.0,0.154,224.913,80.563,0.5454545454545455,0.828305335102521,1.0,0.0,0.5934399701392666
1,path_Router3_to_Router9,Router9,0.0,0.239,119.574,47.478,1.0,0.0,1.0,0.9840076225350534,0.7460019056337633
2,path_Router3_to_Router9,Router3,0.0,0.045,144.417,90.239,0.0,0.9694533762057878,1.0,0.8503573834943701,0.7049526899250395
2,path_Router3_to_Router9,Router6,0.0,0.166,266.837,91.721,0.5734597156398105,1.0,1.0,0.0,0.6433649289099526
2,path_Router3_to_Router9,Router9,0.0,0.256,122.874,43.205,1.0,0.0,1.0,1.0,0.75
3,path_Router3_to_Router9,Router3,0.0,0.052,123.053,87.872,0.0,1.0,1.0,1.0,0.75
3,path_Router3_to_Router9,Router6,0.0,0.16,256.366,87.776,0.679245283018868,0.9968204550723676,1.0,0.0,0.6690164345228089
3,path_Router3_to_Router9,Router9,0.0,0.211,134.13,57.679,1.0,0.0,1.0,0.9169098287488842,0.729227457187221
4,path_Router3_to_Router9,Router3,0.0,0.052,137.008,92.304,0.0,1.0,1.0,0.7761944764216006,0.6940486191054002
4,path_Router3_to_Router9,Router6,0.0,0.147,211.851,91.851,0.48223350253807107,0.986776425256152,1.0,0.0,0.6172524819485558
4,path_Router3_to_Router9,Router9,0.0,0.249,115.428,58.047,1.0,0.0,1.0,1.0,0.75
5,path_Router3_to_Router9,Router3,0.0,0.054,137.188,79.569,0.0,1.0,1.0,0.9013735913246864,0.7253433978311716
5,path_Router3_to_Router9,Router6,0.0,0.155,243.167,77.941,0.5976331360946745,0.9270805339066559,1.0,0.0,0.6311784175003325
5,path_Router3_to_Router9,Router9,0.0,0.223,125.592,57.243,1.0,0.0,1.0,1.0,0.75
6,path_Router3_to_Router9,Router3,0.0,0.053,125.902,78.147,0.0,0.6959405677898648,1.0,1.0,0.6739851419474662
6,path_Router3_to_Router9,Router6,0.0,0.153,266.563,89.607,0.4784688995215311,1.0,1.0,0.0,0.6196172248803828
6,path_Router3_to_Router9,Router9,0.0,0.262,150.353,51.917,1.0,0.0,1.0,0.8261707225172576,0.7065426806293145
7,path_Router3_to_Router9,Router3,0.0,0.051,137.01,90.862,0.0,1.0,1.0,0.9636269445174096,0.7409067361293524
7,path_Router3_to_Router9,Router6,0.0,0.148,269.077,80.885,0.5950920245398773,0.7634436646433993,1.0,0.0,0.5896339222958191
7,path_Router3_to_Router9,Router9,0.0,0.214,132.025,48.686,1.0,0.0,1.0,1.0,0.75
8,path_Router3_to_Router9,Router3,0.0,0.054,117.653,85.047,0.0,1.0,1.0,1.0,0.75
8,path_Router3_to_Router9,Router6,0.0,0.179,227.161,78.172,0.6756756756756757,0.8059663580943779,1.0,0.0,0.6204105084425133
8,path_Router3_to_Router9,Router9,0.0,0.239,123.549,49.615,1.0,0.0,1.0,0.9461591847170983,0.7365397961792746
9,path_Router3_to_Router9,Router3,0.0,0.047,137.344,84.389,0.0,0.9276814603757183,1.0,1.0,0.7319203650939295
9,path_Router3_to_Router9,Router6,0.0,0.154,211.952,87.384,0.5544041450777202,1.0,1.0,0.0,0.6386010362694301
9,path_Router3_to_Router9,Router9,0.0,0.24,150.03,45.97,1.0,0.0,1.0,0.8299646150546858,0.7074911537636714
10,path_Router3_to_Router9,Router3,0.0,0.047,140.625,83.265,0.0,1.0,1.0,0.9693548189148389,0.7423387047287098
10,path_Router3_to_Router9,Router6,0.0,0.167,219.609,81.866,0.6382978723404256,0.9612357993904128,1.0,0.0,0.6498834179327095
10,path_Router3_to_Router9,Router9,0.0,0.235,138.128,47.175,1.0,0.0,1.0,1.0,0.75
11,path_Router3_to_Router9,Router3,0.0,0.05,119.379,76.913,0.0,0.6002405773857258,1.0,1.0,0.6500601443464314
11,path_Router3_to_Router9,Router6,0.0,0.171,244.575,91.868,0.6173469387755103,1.0,1.0,0.0,0.6543367346938775
11,path_Router3_to_Router9,Router9,0.0,0.246,126.922,54.458,1.0,0.0,1.0,0.9397504712610627,0.7349376178152657
12,path_Router3_to_Router9,Router3,0.0,0.054,122.464,81.738,0.0,0.9706375838926176,1.0,1.0,0.7426593959731544
12,path_Router3_to_Router9,Router6,0.0,0.177,226.321,82.823,0.7834394904458598,1.0,1.0,0.0,0.695859872611465
12,path_Router3_to_Router9,Router9,0.0,0.211,132.817,45.871,1.0,0.0,1.0,0.9003148560039284,0.7250787140009821
13,path_Router3_to_Router9,Router3,0.0,0.046,140.715,90.83,0.0,1.0,1.0,1.0,0.75
13,path_Router3_to_Router9,Router6,0.0,0.173,221.354,89.126,0.7257142857142858,0.9484261501210656,1.0,0.0,0.6685351089588378
13,path_Router3_to_Router9,Router9,0.0,0.221,148.481,57.79,1.0,0.0,1.0,0.9036942422401073,0.7259235605600268
14,path_Router3_to_Router9,Router3,0.0,0.054,137.198,79.878,0.0,0.9552091066567682,1.0,1.0,0.7388022766641921
14,path_Router3_to_Router9,Router6,0.0,0.159,205.396,80.964,0.5072463768115942,1.0,1.0,0.0,0.6268115942028986
14,path_Router3_to_Router9,Router9,0.0,0.261,145.932,56.718,1.0,0.0,1.0,0.8719317282031733,0.7179829320507933
15,path_Router3_to_Router9,Router3,0.0,0.044,132.488,91.838,0.0,1.0,1.0,1.0,0.75
15,path_Router3_to_Router9,Router6,0.0,0.174,216.011,85.994,0.625,0.8603851115676814,1.0,0.0,0.6213462778919203
15,path_Router3_to_Router9,Router9,0.0,0.252,135.489,49.98,1.0,0.0,1.0,0.9640697771871221,0.7410174442967805
16,path_Router3_to_Router9,Router3,0.0,0.049,125.286,80.578,0.0,0.8036389684813755,1.0,1.0,0.7009097421203438
16,path_Router3_to_Router9,Router6,0.0,0.159,236.641,87.431,0.5392156862745098,1.0,1.0,0.0,0.6348039215686274
16,path_Router3_to_Router9,Router9,0.0,0.253,149.445,52.531,1.0,0.0,1.0,0.7830452157514257,0.6957613039378564
17,path_Router3_to_Router9,Router3,0.0,0.052,148.987,76.93,0.0,0.7752237071470077,1.0,1.0,0.6938059267867519
17,path_Router3_to_Router9,Router6,0.0,0.164,247.009,86.601,0.5308056872037915,1.0,1.0,0.0,0.6327014218009479
17,path_Router3_to_Router9,Router9,0.0,0.263,152.199,43.576,1.0,0.0,1.0,0.967231845912142,0.7418079614780355
18,path_Router3_to_Router9,Router3,0.0,0.048,149.173,91.386,0.0,1.0,1.0,0.9210124520747802,0.7302531130186951
18,path_Router3_to_Router9,Router6,0.0,0.151,257.753,77.979,0.6242424242424243,0.671751052786211,1.0,0.0,0.5739983692571589
18,path_Router3_to_Router9,Router9,0.0,0.213,139.861,50.542,1.0,0.0,1.0,1.0,0.75
19,path_Router3_to_Router9,Router3,0.0,0.054,138.626,87.514,0.0,0.8635346756152124,1.0,1.0,0.7158836689038031
19,path_Router3_to_Router9,Router6,0.0,0.149,203.361,93.736,0.5491329479768786,1.0,1.0,0.0,0.6372832369942196
